hour_UT,den_NET (TECU),Tsunami detected?
10,0.4- 0.55,no
10,0.2-0.6,no
10,0.1-0.4,no
10,0.2-0.8,no
10,0.04-0.5,no
10,0-0.5,no
10,0.2-0.4,no
10,0.3-0.45,no
10,0.32-0.45,no
10,0.03-0.55,no
10,0.1-0.45,no
10,0.15-0.8,no
10,0.1-0.25,no
10,0.2-0.45,no
10,0-0.3,no
10,1-1.5,no
10,0.4-0.75,no
10,0.3-0.7,no
10,0.1-0.35,no
10,0-0.2,no
10,0.15-0.5,no
10,0.35- 0.65,no
10,0-0.25,no
10,0.3-0.35,no
10,0.280-0.95,no
10,0.4-0.65,no
10,0.1-0.35,no
10,0.2-0.235,no
10,0.42-0.65,no
10,0.1-0.45,no
10,0.1-0.2,no
10,0.02-0.55,no
10,0.1-0.7,no
10,0-0.7,no
10,0.10-0.35,no
10,0.35-0.5,no
10,0.45-0.85,no
10,0.05-0.3,no
10,0.20-0.52,no
10,0.05-0.35,no
10,0.0-0.15,no
10,0.35-0.85,no
10,0.2-0.45,no
10,0.02-0.25,no
10,0.05-0.25,no
